,name,counts
0,Dante,11
1,Charles,9
2,Casey,9
3,Dedalus,9
4,Athy,6
5,Arnall,4
6,Davin,4
7,Riordan,4
8,Corrigan,3
9,Michael,2
10,Stevie,2
11,Cecil Thunder,2
12,Nasty Roche,2
13,Tom,2
14,Jack Lawton,2
15,Moynihan,2
16,Francis Xavier,2
17,Simon Moonan,2
18,John,2
19,Dolan,1
20,John Anthony Collins,1
21,William Malcolm Inverarity,1
22,John Lawton,1
23,Queen Victoria,1
24,Stephaneforos,1
25,Alec Kafoozelum,1
26,Anthony MacSwiney,1
27,Michael Cusack,1
28,Stanislaus Kostka,1
29,John Anthony,1
30,Henry Grattan,1
31,Lottie Collins,1
32,Maurice,1
33,Clontarf Chapel,1
34,Harry Peard,1
35,Blessed John Berchmans,1
36,John Duncan,1
37,Cardinal Newman,1
38,Paddy Barrett,1
39,Roderick Kickham,1
40,Peter Kenny,1
41,Stephen Dedalus,1
42,Clanbrassil,1
43,Connolly,1
44,Bob Dyas,1
45,Jimmy Magee,1
46,Glynn,1
47,Mick Lacy,1
48,Guido Cavalcanti,1
49,Ignatius Loyola,1
50,William,1
51,Kitty O’Shea,1
52,Rody Kickham,1
53,Billy,1
54,Ben Jonson,1
55,Ibsen,1
56,Charles Kendal Bushe,1
57,Maurice Moriarty,1
58,Liffey,1
59,Tim,1
60,William Bond,1
61,Johnny Keevers,1
62,Mike Flynn,1
63,Dixon,1
64,Armagh,1
65,Rosie,1
66,Shuley,1
67,Lorenzo Ricci,1
68,Eileen,1
69,Francis Forster,1
70,Aloysius Gonzago,1
71,Joey Corbet,1
72,Clontail Chapel,1
73,Tyson,1
74,Kneel,1
75,Goggins,1
