,name,sentence_num
0,James Joyce,0
1,Betty Byrne,2
5,Charles,13
6,Dante,13
7,Charles,14
8,Dante,14
9,Dante,15
10,Michael Davitt,16
11,Dante,17
12,Eileen,21
13,Dante,24
14,Rody Kickham,32
15,Rody Kickham,33
16,Nasty Roche,33
17,Rody Kickham,34
18,Nasty Roche,35
19,Stephen Dedalus,38
20,Nasty Roche,39
21,Nasty Roche,40
22,Nasty Roche,42
23,Jack Lawton,66
24,Hamilton Rowan,73
25,Wolsey,80
26,Dante,87
27,Dante,89
28,Arnall,91
29,Dante,91
30,Charles,91
31,Dante,91
32,Dante,92
33,Rody Kickham,97
34,Simon Moonan,99
35,Simon Moonan,100
36,Simon Moonan,103
37,Arnall,117
38,Arnall,123
39,Jack Lawton,124
40,Arnall,124
41,Jack Lawton,129
42,Jack Lawton,131
43,Jack Lawton,132
44,Arnall,133
45,Nasty Roche,148
46,Jimmy Magee,172
47,Simon Moonan,176
48,Tullabeg,177
49,Wells,178
50,Wells,192
51,Michael Davitt,208
52,Stephen Dedalus,215
54,Stephen Dedalus,215
55,Dante,233
56,Dante,236
57,Casey,236
58,Charles,236
59,Dante,291
60,Charles,291
61,Wells,382
62,Leicester Abbey,395
63,Wolsey,396
64,Michael,412
65,Michael,421
66,Michael,423
67,Michael,423
68,Michael,431
69,Michael,432
70,Michael,436
71,Michael,441
72,Michael,446
73,Little,461
74,Brigid,469
76,Michael,484
77,Michael,488
78,Athy,489
79,Michael,489
80,Michael,489
81,Dedalus,495
82,Athy,495
83,Arnall,531
84,Michael,533
85,Michael,551
86,Dante,559
87,Charles,563
88,Dante,563
89,Casey,563
90,Casey,565
91,Casey,566
92,Casey,567
93,Casey,568
94,Queen Victoria,568
95,Casey,569
96,John,571
97,Dante,576
98,Riordan,576
99,Dante,577
100,Casey,582
101,Christopher,583
102,Christy,586
103,jack,588
104,Casey,592
105,Dedalus,596
106,Riordan,598
107,John,599
108,Charles,600
109,Ally Daly,607
110,Charles,613
111,Dedalus,616
112,Riordan,616
